Time [s], Analyzer Name, Decoded Protocol Result
5.223826920000000,USB LS and FS,CRC OK '20' (0x14)
5.223827360000000,USB LS and FS,EOP
5.224824720000000,USB LS and FS,SYNC
5.224825400000000,USB LS and FS,PID SOF
5.224826040000000,USB LS and FS,Frame # '693' (0x2B5)
5.224826960000000,USB LS and FS,CRC OK '11' (0x0B)
5.224827400000000,USB LS and FS,EOP
5.225824760000000,USB LS and FS,SYNC
5.225825440000000,USB LS and FS,PID SOF
5.225826120000000,USB LS and FS,Frame # '694' (0x2B6)
5.225827000000000,USB LS and FS,CRC OK '3' (0x03)
5.225827440000000,USB LS and FS,EOP
5.226824800000000,USB LS and FS,SYNC
5.226825480000000,USB LS and FS,PID SOF
5.226826120000000,USB LS and FS,Frame # '695' (0x2B7)
5.226827080000000,USB LS and FS,CRC OK '28' (0x1C)
5.226827480000000,USB LS and FS,EOP
5.227338400000000,USB LS and FS,SYNC
5.227339080000000,USB LS and FS,PID SETUP
5.227339720000000,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00)
5.227340640000000,USB LS and FS,CRC OK '2' (0x02)
5.227341080000000,USB LS and FS,EOP
5.227341800000000,USB LS and FS,SYNC
5.227342480000000,USB LS and FS,PID DATA0
5.227343160000000,USB LS and FS,Byte '128' (0x80)
5.227343800000000,USB LS and FS,Byte '6' (0x06)
5.227344480000000,USB LS and FS,Byte '0' (0x00)
5.227345160000000,USB LS and FS,Byte '1' (0x01)
5.227345800000000,USB LS and FS,Byte '0' (0x00)
5.227346480000000,USB LS and FS,Byte '0' (0x00)
5.227347160000000,USB LS and FS,Byte @ (0x40)
5.227347800000000,USB LS and FS,Byte '0' (0x00)
5.227348480000000,USB LS and FS,CRC OK '38109' (0x94DD)
5.227349840000000,USB LS and FS,EOP
5.227350440000000,USB LS and FS,SYNC
5.227351120000000,USB LS and FS,PID ACK
5.227351800000000,USB LS and FS,EOP
5.227484960000000,USB LS and FS,SYNC
5.227485600000000,USB LS and FS,PID IN
5.227486280000000,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00)
5.227487200000000,USB LS and FS,CRC OK '2' (0x02)
5.227487640000000,USB LS and FS,EOP
5.227488200000000,USB LS and FS,SYNC
5.227488880000000,USB LS and FS,PID NAK
5.227489560000000,USB LS and FS,EOP
5.227824840000000,USB LS and FS,SYNC
5.227825520000000,USB LS and FS,PID SOF
5.227826200000000,USB LS and FS,Frame # '696' (0x2B8)
5.227827120000000,USB LS and FS,CRC OK '29' (0x1D)
5.227827520000000,USB LS and FS,EOP
5.228716560000000,USB LS and FS,SYNC
5.228717200000000,USB LS and FS,PID IN
5.228717880000000,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00)
5.228718800000000,USB LS and FS,CRC OK '2' (0x02)
5.228719240000000,USB LS and FS,EOP
5.228719840000000,USB LS and FS,SYNC
5.228720480000000,USB LS and FS,PID DATA1
5.228721160000000,USB LS and FS,Byte '18' (0x12)
5.228721840000000,USB LS and FS,Byte '1' (0x01)
5.228722480000000,USB LS and FS,Byte '0' (0x00)
5.228723160000000,USB LS and FS,Byte '2' (0x02)
5.228723840000000,USB LS and FS,Byte '0' (0x00)
5.228724480000000,USB LS and FS,Byte '0' (0x00)
5.228725160000000,USB LS and FS,Byte '0' (0x00)
5.228725840000000,USB LS and FS,Byte '8' (0x08)
5.228726480000000,USB LS and FS,CRC OK '59223' (0xE757)
5.228727840000000,USB LS and FS,EOP
5.228728640000000,USB LS and FS,SYNC
5.228729280000000,USB LS and FS,PID ACK
5.228729960000000,USB LS and FS,EOP
5.228824880000000,USB LS and FS,SYNC
5.228825560000000,USB LS and FS,PID SOF
5.228826240000000,USB LS and FS,Frame # '697' (0x2B9)
5.228827160000000,USB LS and FS,CRC OK '2' (0x02)
5.228827560000000,USB LS and FS,EOP
5.228857200000000,USB LS and FS,SYNC
5.228857880000000,USB LS and FS,PID OUT
5.228858560000000,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00)
5.228859480000000,USB LS and FS,CRC OK '2' (0x02)
5.228859880000000,USB LS and FS,EOP
5.228860640000000,USB LS and FS,SYNC
5.228861280000000,USB LS and FS,PID DATA1
5.228861960000000,USB LS and FS,CRC OK '0' (0x0000)
5.228863320000000,USB LS and FS,EOP
5.228863920000000,USB LS and FS,SYNC
5.228864560000000,USB LS and FS,PID ACK
5.228865240000000,USB LS and FS,EOP
5.229004800000000,USB LS and FS,Reset
5.244825600000000,USB LS and FS,SYNC
5.244826280000000,USB LS and FS,PID SOF
5.244826920000000,USB LS and FS,Frame # '713' (0x2C9)
5.244827880000000,USB LS and FS,CRC OK '4' (0x04)
5.244828280000000,USB LS and FS,EOP
5.245825720000000,USB LS and FS,SYNC
5.245826360000000,USB LS and FS,PID SOF
5.245827040000000,USB LS and FS,Frame # '714' (0x2CA)
5.245827960000000,USB LS and FS,CRC OK '12' (0x0C)
5.245828360000000,USB LS and FS,EOP
5.246825720000000,USB LS and FS,SYNC
5.246826400000000,USB LS and FS,PID SOF
5.246827040000000,USB LS and FS,Frame # '715' (0x2CB)
5.246827960000000,USB LS and FS,CRC OK '19' (0x13)
5.246828400000000,USB LS and FS,EOP
5.247825760000000,USB LS and FS,SYNC
5.247826440000000,USB LS and FS,PID SOF
5.247827120000000,USB LS and FS,Frame # '716' (0x2CC)
5.247828000000000,USB LS and FS,CRC OK '28' (0x1C)
5.247828440000000,USB LS and FS,EOP
5.248825800000000,USB LS and FS,SYNC
5.248826480000000,USB LS and FS,PID SOF
5.248827120000000,USB LS and FS,Frame # '717' (0x2CD)
5.248828040000000,USB LS and FS,CRC OK '3' (0x03)
5.248828480000000,USB LS and FS,EOP
5.249825840000000,USB LS and FS,SYNC
5.249826520000000,USB LS and FS,PID SOF
5.249827200000000,USB LS and FS,Frame # '718' (0x2CE)
5.249828080000000,USB LS and FS,CRC OK '11' (0x0B)
5.249828520000000,USB LS and FS,EOP
5.250825920000000,USB LS and FS,SYNC
5.250826560000000,USB LS and FS,PID SOF
5.250827240000000,USB LS and FS,Frame # '719' (0x2CF)
5.250828160000000,USB LS and FS,CRC OK '20' (0x14)
5.250828600000000,USB LS and FS,EOP
5.251825960000000,USB LS and FS,SYNC
5.251826600000000,USB LS and FS,PID SOF
5.251827280000000,USB LS and FS,Frame # '720' (0x2D0)
5.251828200000000,USB LS and FS,CRC OK \t (0x09)
5.251828640000000,USB LS and FS,EOP
5.252826000000000,USB LS and FS,SYNC
5.252826640000000,USB LS and FS,PID SOF
5.252827320000000,USB LS and FS,Frame # '721' (0x2D1)
5.252828240000000,USB LS and FS,CRC OK '22' (0x16)
5.252828680000000,USB LS and FS,EOP
5.253826040000000,USB LS and FS,SYNC
5.253826680000000,USB LS and FS,PID SOF
5.253827360000000,USB LS and FS,Frame # '722' (0x2D2)
5.253828280000000,USB LS and FS,CRC OK '30' (0x1E)
5.253828720000000,USB LS and FS,EOP
5.254826080000000,USB LS and FS,SYNC
5.254826760000000,USB LS and FS,PID SOF
5.254827440000000,USB LS and FS,Frame # '723' (0x2D3)
5.254828360000000,USB LS and FS,CRC OK '1' (0x01)
5.254828760000000,USB LS and FS,EOP
5.255826120000000,USB LS and FS,SYNC
5.255826800000000,USB LS and FS,PID SOF
5.255827480000000,USB LS and FS,Frame # '724' (0x2D4)
5.255828400000000,USB LS and FS,CRC OK '14' (0x0E)
5.255828800000000,USB LS and FS,EOP
5.256826160000000,USB LS and FS,SYNC
5.256826840000000,USB LS and FS,PID SOF
5.256827520000000,USB LS and FS,Frame # '725' (0x2D5)
