Time[s], D+, D-
6.217406400000000, 1, 0
6.217406480000000, 0, 1
6.217406560000000, 1, 1
6.217406600000000, 1, 0
6.217406680000000, 0, 1
6.217406760000000, 1, 0
6.217406840000000, 0, 1
6.217407080000000, 1, 0
6.217407240000000, 0, 1
6.217407320000000, 1, 0
6.217407480000000, 0, 1
6.217407680000000, 1, 0
6.217407920000000, 0, 1
6.217408080000000, 1, 0
6.217408160000000, 0, 1
6.217408240000000, 1, 0
6.217408400000000, 0, 1
6.217409000000000, 1, 0
6.217409080000000, 0, 0
6.217409240000000, 1, 0
6.218406360000000, 0, 1
6.218406440000000, 1, 0
6.218406520000000, 1, 1
6.218406560000000, 0, 1
6.218406600000000, 1, 1
6.218406640000000, 1, 0
6.218406720000000, 0, 1
6.218406800000000, 1, 0
6.218406880000000, 0, 1
6.218407120000000, 1, 0
6.218407280000000, 0, 1
6.218407360000000, 1, 0
6.218407520000000, 1, 1
6.218407560000000, 0, 1
6.218407960000000, 1, 0
6.218408120000000, 0, 1
6.218408200000000, 1, 0
6.218408280000000, 0, 1
6.218408440000000, 1, 0
6.218408600000000, 1, 1
6.218408640000000, 0, 1
6.218408720000000, 1, 0
6.218408800000000, 0, 1
6.218408880000000, 1, 0
6.218408960000001, 0, 1
6.218409040000000, 0, 0
6.218409200000000, 1, 0
6.219406400000000, 0, 1
6.219406480000000, 1, 0
6.219406560000000, 1, 1
6.219406600000000, 0, 1
6.219406680000001, 1, 0
6.219406760000000, 0, 1
6.219406840000000, 1, 0
6.219406920000000, 0, 1
6.219407160000000, 1, 0
6.219407320000000, 0, 1
6.219407400000000, 1, 0
6.219407560000001, 1, 1
6.219407600000000, 0, 1
6.219407760000000, 1, 0
6.219407840000000, 0, 1
6.219407920000000, 1, 0
6.219408160000000, 0, 1
6.219408240000000, 1, 0
6.219408320000000, 0, 1
6.219408480000000, 1, 0
6.219408760000000, 0, 1
6.219408840000000, 1, 0
6.219408920000000, 0, 1
6.219409000000000, 1, 0
6.219409080000000, 0, 0
6.219409240000000, 1, 0
6.220406480000000, 0, 1
6.220406560000000, 1, 0
6.220406640000000, 0, 1
6.220406720000000, 1, 0
6.220406800000000, 0, 1
6.220406880000001, 1, 0
6.220406960000000, 0, 1
6.220407200000000, 1, 1
6.220407240000000, 1, 0
6.220407400000000, 0, 1
6.220407480000000, 1, 0
6.220407640000000, 0, 1
6.220407880000000, 1, 0
6.220407960000000, 0, 1
6.220408200000000, 1, 1
6.220408240000000, 1, 0
6.220408320000000, 0, 1
6.220408400000000, 1, 0
6.220408560000000, 0, 1
6.220408720000000, 1, 0
6.220409160000000, 0, 0
6.220409320000000, 1, 0
6.221406520000000, 0, 1
6.221406600000000, 1, 0
6.221406680000000, 0, 1
6.221406760000000, 1, 0
6.221406840000000, 0, 1
6.221406920000000, 1, 0
6.221407000000000, 0, 1
6.221407280000000, 1, 0
6.221407440000000, 0, 1
6.221407520000001, 1, 0
6.221407680000000, 0, 1
6.221407840000000, 1, 0
6.221408000000000, 0, 1
6.221408280000000, 1, 0
6.221408360000000, 0, 1
6.221408440000000, 1, 0
6.221408600000000, 0, 1
6.221408760000000, 1, 0
6.221409000000000, 0, 1
6.221409200000000, 0, 0
6.221409360000000, 1, 0
6.222406560000000, 0, 1
6.222406640000000, 1, 0
6.222406720000000, 0, 1
6.222406800000000, 1, 0
6.222406880000000, 0, 1
6.222406960000000, 1, 0
6.222407040000000, 0, 1
6.222407320000000, 1, 0
6.222407480000000, 0, 1
6.222407560000000, 1, 0
6.222407720000001, 0, 1
6.222408040000000, 1, 0
6.222408320000000, 0, 1
6.222408400000000, 1, 0
6.222408480000000, 0, 1
6.222408640000000, 1, 0
6.222408880000000, 0, 1
6.222408960000000, 1, 0
6.222409120000000, 0, 1
6.222409240000000, 0, 0
6.222409400000000, 1, 0
6.223406600000001, 0, 1
6.223406680000000, 1, 0
6.223406760000000, 0, 1
6.223406840000000, 1, 0
6.223406920000000, 0, 1
6.223407000000000, 1, 0
6.223407080000000, 0, 1
6.223407360000000, 1, 0
6.223407520000000, 0, 1
6.223407600000000, 1, 0
6.223407760000000, 0, 1
6.223407920000001, 1, 0
6.223408000000000, 0, 1
6.223408360000001, 1, 0
6.223408440000000, 0, 1
6.223408520000000, 1, 0
6.223408680000000, 0, 1
6.223408840000000, 1, 0
6.223409080000000, 0, 1
6.223409160000000, 1, 1
6.223409200000000, 1, 0
6.223409280000000, 0, 0
6.223409440000000, 1, 0
6.224406640000000, 0, 1
6.224406720000000, 1, 0
6.224406800000001, 1, 1
6.224406840000000, 0, 1
6.224406920000000, 1, 0
6.224407000000000, 0, 1
6.224407080000000, 1, 0
6.224407160000000, 0, 1
6.224407400000000, 1, 0
6.224407560000000, 0, 1
6.224407640000000, 1, 0
6.224407800000000, 1, 1
6.224407840000000, 0, 1
6.224408080000000, 1, 0
6.224408400000000, 0, 1
6.224408480000000, 1, 0
6.224408560000001, 0, 1
6.224408720000000, 1, 0
6.224409000000001, 0, 1
6.224409080000000, 1, 0
6.224409320000000, 0, 0
6.224409480000000, 1, 0
6.225406680000000, 1, 1
6.225406720000001, 0, 1
6.225406760000000, 1, 1
6.225406800000000, 1, 0
6.225406880000000, 0, 1
6.225406960000000, 1, 0
6.225407040000000, 0, 1
6.225407120000000, 1, 0
6.225407200000000, 0, 1
6.225407440000001, 1, 0
6.225407600000000, 0, 1
6.225407680000000, 1, 0
6.225407880000001, 0, 1
6.225408040000000, 1, 0
6.225408440000000, 0, 1
6.225408520000000, 1, 0
6.225408600000000, 0, 1
6.225408760000001, 1, 1
6.225408800000000, 1, 0
6.225409040000000, 0, 1
6.225409120000000, 1, 0
6.225409200000001, 0, 1
6.225409360000000, 0, 0
6.225409520000000, 1, 0
6.226406720000000, 1, 1
6.226406760000000, 0, 1
6.226406800000000, 1, 1
6.226406840000000, 1, 0
6.226406920000001, 0, 1
6.226407000000000, 1, 0
6.226407080000000, 0, 1
6.226407160000000, 1, 0
6.226407240000000, 0, 1
6.226407480000000, 1, 0
6.226407640000000, 0, 1
6.226407720000000, 1, 1
6.226407760000000, 1, 0
6.226407920000000, 0, 1
6.226408480000000, 1, 0
6.226408560000000, 0, 1
6.226408640000000, 1, 0
6.226408720000000, 1, 1
6.226408760000000, 0, 1
6.226408920000000, 1, 0
6.226409080000000, 0, 1
6.226409400000001, 1, 0
6.226409480000000, 0, 0
6.226409640000000, 1, 0
6.227406760000000, 1, 1
6.227406800000000, 0, 1
6.227406880000000, 1, 0
6.227406960000000, 0, 1
6.227407040000000, 1, 0
6.227407120000001, 0, 1
6.227407200000000, 1, 0
6.227407280000000, 0, 1
6.227407520000000, 1, 0
6.227407680000000, 0, 1
6.227407760000000, 1, 1
6.227407800000000, 1, 0
6.227407960000000, 0, 1
6.227408120000000, 1, 0
6.227408200000000, 0, 1
6.227408280000001, 1, 0
6.227408360000000, 0, 1
6.227408440000000, 1, 0
6.227408600000000, 0, 1
6.227408680000000, 1, 0
6.227408880000000, 0, 1
6.227409040000000, 1, 0
6.227409200000000, 0, 1
6.227409280000000, 1, 0
6.227409360000000, 0, 1
6.227409440000000, 0, 0
6.227409600000001, 1, 0
6.228406840000000, 0, 1
6.228406920000000, 1, 0
6.228407000000000, 0, 1
6.228407080000000, 1, 0
6.228407160000000, 0, 1
6.228407240000000, 1, 0
6.228407320000001, 0, 1
6.228407560000000, 1, 0
6.228407720000000, 1, 1
6.228407760000001, 0, 1
6.228407800000000, 1, 1
6.228407840000000, 1, 0
6.228408000000000, 0, 1
6.228408240000000, 1, 0
6.228408320000000, 0, 1
6.228408400000000, 1, 0
6.228408480000000, 0, 1
6.228408640000000, 1, 0
6.228408720000000, 1, 1
6.228408760000000, 0, 1
6.228408920000001, 1, 0
6.228409160000000, 0, 1
6.228409480000000, 0, 0
6.228409640000000, 1, 0
6.229406880000000, 0, 1
6.229406960000000, 1, 0
6.229407040000000, 0, 1
6.229407120000000, 1, 0
6.229407200000000, 0, 1
6.229407280000000, 1, 0
6.229407360000000, 1, 1
6.229407400000000, 0, 1
6.229407640000000, 1, 0
6.229407800000000, 0, 1
6.229407880000000, 1, 0
6.229408040000000, 0, 1
6.229408200000000, 1, 0
6.229408360000000, 1, 1
6.229408400000001, 0, 1
6.229408480000000, 1, 0
6.229408560000000, 0, 1
6.229408720000000, 1, 0
6.229408800000000, 0, 1
6.229408960000000, 1, 0
6.229409200000000, 0, 1
6.229409360000000, 1, 1
6.229409400000000, 1, 0
6.229409560000001, 0, 0
6.229409720000000, 1, 0
6.230406920000000, 0, 1
6.230407000000000, 1, 0
6.230407080000000, 0, 1
6.230407160000000, 1, 0
6.230407240000000, 0, 1
6.230407320000000, 1, 0
6.230407400000000, 1, 1
6.230407440000000, 0, 1
6.230407680000000, 1, 0
6.230407840000000, 0, 1
6.230407920000000, 1, 0
6.230408080000000, 0, 1
6.230408400000000, 1, 1
6.230408440000000, 1, 0
6.230408520000000, 0, 1
6.230408600000001, 1, 0
6.230408760000000, 0, 1
6.230408840000000, 1, 0
6.230409000000000, 0, 1
6.230409160000000, 1, 0
6.230409320000000, 1, 1
6.230409360000000, 0, 1
6.230409520000000, 1, 0
6.230409600000000, 0, 0
6.230409760000001, 1, 0
6.231406960000000, 0, 1
6.231407040000001, 1, 0
6.231407120000000, 0, 1
6.231407200000000, 1, 0
6.231407280000000, 0, 1
6.231407360000000, 1, 1
6.231407400000000, 1, 0
6.231407480000001, 0, 1
6.231407720000000, 1, 0
6.231407880000000, 0, 1
6.231407960000000, 1, 0
6.231408120000000, 0, 1
6.231408280000000, 1, 0
6.231408360000001, 1, 1
6.231408400000000, 0, 1
6.231408560000000, 1, 0
6.231408640000000, 0, 1
6.231408800000001, 1, 0
6.231408880000000, 0, 1
6.231409040000000, 1, 0
6.231409280000000, 0, 1
6.231409480000000, 1, 0
6.231409560000000, 0, 1
6.231409640000000, 0, 0
6.231409800000000, 1, 0
6.232407000000000, 0, 1
6.232407080000000, 1, 0
6.232407160000000, 0, 1
6.232407240000001, 1, 0
6.232407320000000, 1, 1
6.232407360000000, 0, 1
6.232407400000000, 1, 1
6.232407440000000, 1, 0
6.232407520000000, 0, 1
6.232407760000000, 1, 0
6.232407920000000, 0, 1
6.232408000000000, 1, 0
6.232408160000000, 0, 1
6.232408400000000, 1, 1
6.232408440000000, 1, 0
6.232408600000000, 0, 1
6.232408680000000, 1, 0
6.232408840000000, 0, 1
6.232408920000000, 1, 0
6.232409080000000, 0, 1
6.232409240000000, 1, 0
6.232409400000000, 1, 1
6.232409440000001, 0, 1
6.232409680000000, 0, 0
6.232409840000000, 1, 0
6.233407080000000, 0, 1
6.233407160000001, 1, 0
6.233407240000000, 0, 1
6.233407320000000, 1, 0
6.233407400000000, 0, 1
6.233407480000000, 1, 0
6.233407560000000, 0, 1
6.233407800000000, 1, 0
6.233407960000000, 1, 1
6.233408000000000, 0, 1
6.233408080000000, 1, 0
6.233408240000000, 0, 1
6.233408400000000, 1, 0
6.233408640000000, 0, 1
6.233408720000000, 1, 0
6.233408880000000, 0, 1
6.233408960000000, 1, 1
6.233409000000000, 1, 0
6.233409160000000, 0, 1
6.233409320000000, 1, 0
