Time [s],Byte
8.877450874999999,0x88
8.877451437500000,0xA5
8.877452125000000,0x47
8.877452750000000,0xEF
8.885451249999999,0x88
8.885451812499999,0xA5
8.885452500000000,0x4F
8.885453125000000,0x9F
8.891451500000001,0x88
8.891452062500001,0xA5
8.891452749999999,0x55
8.891453374999999,0xB7
8.895451687500000,0x88
8.895452250000000,0xA5
8.895452937500000,0x59
8.895453562500000,0xFF
8.910452375000000,0x88
8.910452937500001,0xA5
8.910453625000001,0x68
8.910454250000001,0x6F
8.916452625000000,0x88
8.916453187500000,0xA5
8.916453875000000,0x6E
8.916454500000000,0xEF
8.930453249999999,0x88
8.930453812500000,0xA5
8.930454500000000,0x7C
8.930455125000000,0xB7
8.931453312500000,0x88
8.931453875000001,0xA5
8.931454562500001,0x7D
8.931455187499999,0x4F
8.970455062499999,0x88
8.970455625000000,0xA5
8.970456312500000,0xA4
8.970457000000000,0xCF
8.973455187500001,0x88
8.973455749999999,0xA5
8.973456437499999,0xA7
8.973457124999999,0x8F
8.994456124999999,0x88
8.994456687500000,0xA5
8.994457375000000,0xBC
8.994458062500000,0x5F
9.044458375000000,0x88
9.044458937500000,0xA5
9.044459625000000,0xEE
9.044460250000000,0x5F
9.354472312500000,0x88
9.354472875000001,0xA5
9.354473562500001,0x24
9.354474187499999,0x89
9.393474062499999,0x88
9.393474625000000,0xA5
9.393475312500000,0x4B
9.393475937500000,0x51
9.418475187500000,0x88
9.418475750000001,0xA5
9.418476437500001,0x64
9.418477062499999,0xD1
9.425475499999999,0x88
9.425476062500000,0xA5
9.425476750000000,0x6B
9.425477375000000,0xD9
9.435475937500000,0x88
9.435476500000000,0xA5
9.435477187500000,0x75
9.435477812500000,0xC9
9.443476312500000,0x88
9.443476875000000,0xA5
9.443477562500000,0x7D
9.443478187500000,0xB9
9.492478500000001,0x88
9.492479062499999,0xA5
9.492479749999999,0xAE
9.492480437499999,0xF1
9.507479187500000,0x88
9.507479750000000,0xA5
9.507480437500000,0xBD
9.507481125000000,0x51
9.553481250000001,0x88
9.553481812499999,0xA5
9.553482499999999,0xEB
9.553483125000000,0x69
9.557481437500000,0x88
9.557482000000000,0xA5
9.557482687500000,0xEF
9.557483312500000,0x51
9.563481687499999,0x88
9.563482250000000,0xA5
9.563482937500000,0xF5
9.563483625000000,0x79
9.610483812500000,0x88
9.610484375000000,0xA5
9.610485062500000,0x24
9.610485687500001,0xF2
9.617484125000001,0x88
9.617484687499999,0xA5
9.617485374999999,0x2B
9.617486000000000,0xFA
9.627484562499999,0x88
9.627485125000000,0xA5
9.627485812500000,0x35
9.627486437500000,0xEA
9.635484937499999,0x88
9.635485500000000,0xA5
9.635486187500000,0x3D
9.635486812500000,0x9A
9.646485437500001,0x88
9.646485999999999,0xA5
9.646486687499999,0x48
9.646487312500000,0x6A
9.652485687500000,0x88
9.652486250000001,0xA5
9.652486937500001,0x4E
9.652487562499999,0xEA
9.660486062500000,0x88
9.660486625000001,0xA5
9.660487312500001,0x56
9.660487937499999,0x7A
9.666486312500000,0x88
9.666486875000000,0xA5
9.666487562500000,0x5C
9.666488187500001,0xB2
9.667486374999999,0x88
9.667486937500000,0xA5
9.667487625000000,0x5D
9.667488250000000,0x4A
9.674486687500000,0x88
9.674487250000000,0xA5
9.674487937500000,0x64
9.674488562500001,0xAA
9.677486812500000,0x88
9.677487375000000,0xA5
9.677488062500000,0x67
9.677488687500000,0xEA
9.685487187500000,0x88
9.685487750000000,0xA5
9.685488437500000,0x6F
9.685489062500000,0x9A
9.691487437499999,0x88
9.691488000000000,0xA5
9.691488687500000,0x75
9.691489312500000,0xB2
9.695487625000000,0x88
9.695488187500001,0xA5
9.695488875000001,0x79
9.695489500000001,0xFA
9.745489875000001,0x88
9.745490437500001,0xA5
9.745491124999999,0xAB
9.745491749999999,0x4A
9.755490312499999,0x88
9.755490875000000,0xA5
9.755491562500000,0xB5
9.755492187500000,0x5A
9.770491000000000,0x88
9.770491562500000,0xA5
9.770492250000000,0xC4
9.770492875000000,0x92
9.780491437500000,0x88
9.780492000000001,0xA5
9.780492687500001,0xCE
9.780493312500001,0x5A
9.795492125000001,0x88
9.795492687499999,0xA5
9.795493375000000,0xDD
9.795494000000000,0xFA
9.805492562500000,0x88
9.805493125000000,0xA5
9.805493812500000,0xE7
9.805494437500000,0x5A
9.807492687500000,0x88
9.807493250000000,0xA5
9.807493937500000,0xE9
9.807494562500001,0xAA
9.823493375000000,0x88
9.823493937500000,0xA5
9.823494625000000,0xF9
9.823495250000001,0x4A
9.869495437499999,0x88
9.869496000000000,0xA5
9.869496687500000,0x27
9.869497312500000,0x9B
9.873495625000000,0x88
9.873496187500001,0xA5
9.873496875000001,0x2B
9.873497499999999,0xD3
9.919497687500000,0x88
9.919498250000000,0xA5
9.919498937500000,0x59
9.919499562500000,0x5B
9.937498500000000,0x88
9.937499062500001,0xA5
9.937499750000001,0x6B
9.937500375000001,0x8B
9.947498937500001,0x88
9.947499499999999,0xA5
9.947500187499999,0x75
9.947500812500000,0x9B
9.948499000000000,0x88
9.948499562500000,0xA5
9.948500250000000,0x76
9.948500875000001,0xDB
9.951499125000000,0x88
9.951499687500000,0xA5
9.951500375000000,0x79
9.951501000000000,0xD3
10.026502499999999,0x88
10.026503062500000,0xA5
10.026503750000000,0xC4
10.026504375000000,0xBB
10.033502812500000,0x88
10.033503375000000,0xA5
10.033504062500000,0xCB
10.033504687500001,0xB3
10.037502999999999,0x88
10.037503562500000,0xA5
10.037504250000000,0xCF
10.037504875000000,0x8B
10.047503437500000,0x88
10.047504000000000,0xA5
10.047504687500000,0xD9
10.047505312500000,0xEB
10.051503625000000,0x88
10.051504187500001,0xA5
10.051504874999999,0xDD
10.051505499999999,0xD3
10.075504687500001,0x88
10.075505250000001,0xA5
10.075505937499999,0xF5
10.075506624999999,0x2B
10.076504750000000,0x88
10.076505312500000,0xA5
10.076506000000000,0xF6
10.076506687500000,0x6B
10.381518437500000,0x88
10.381519000000001,0xA5
10.381519687500001,0x27
10.381520312499999,0x6D
10.385518625000000,0x88
10.385519187500000,0xA5
