,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
15.00714092,USB LS and FS,PID SETUP,,,10.45338524,USB LS and FS,SYNC,,,15.48054756,USB LS and FS,SYNC,,,,,,,,,
15.0071416,USB LS and FS,Address=0x13 Endpoint=0x00,,,10.45338592,USB LS and FS,PID SETUP,,,15.4805482,USB LS and FS,PID SETUP,,,,,,,,,
15.00714252,USB LS and FS,CRC OK 0x16,,,10.4533866,USB LS and FS,Address='26' (0x1A) Endpoint='0' (0x00),,,15.48054888,USB LS and FS,Address='26' (0x1A) Endpoint='0' (0x00),,,,,,,,,
15.00714296,USB LS and FS,EOP,,,10.45338752,USB LS and FS,CRC OK '7' (0x07),,,15.4805498,USB LS and FS,CRC OK '7' (0x07),,,,,,,,,
15.00714368,USB LS and FS,SYNC,,,10.45338792,USB LS and FS,EOP,,,15.48055024,USB LS and FS,EOP,,,,,,,,,
15.00714436,USB LS and FS,PID DATA0,Set Configuration Request,,10.45338868,USB LS and FS,SYNC,,,15.48055096,USB LS and FS,SYNC,,,,,,,,,
15.00714504,USB LS and FS,Byte 0x00,,,10.45338932,USB LS and FS,PID DATA0,,,15.48055164,USB LS and FS,PID DATA0,,,,,,,,,
15.00714568,USB LS and FS,Byte 0x09,,,10.45339,USB LS and FS,Byte ! (0x21),Set Idle Report,,15.48055228,USB LS and FS,Byte '129' (0x81),Get HID Report,,,,,,,,
15.00714636,USB LS and FS,Byte 0x01,,,10.45339068,USB LS and FS,Byte \n (0x0A),,,15.48055296,USB LS and FS,Byte '6' (0x06),,,,,,,,,
15.00714704,USB LS and FS,Byte 0x00,,,10.45339132,USB LS and FS,Byte '0' (0x00),,,15.48055364,USB LS and FS,Byte '0' (0x00),,,,,,,,,
15.00714768,USB LS and FS,Byte 0x00,,,10.453392,USB LS and FS,Byte '0' (0x00),,,15.48055428,USB LS and FS,"Byte "" (0x22)",,,,,,,,,
15.00714836,USB LS and FS,Byte 0x00,,,10.45339268,USB LS and FS,Byte '1' (0x01),,,15.48055496,USB LS and FS,Byte '1' (0x01),,,,,,,,,
15.00714904,USB LS and FS,Byte 0x00,,,10.45339332,USB LS and FS,Byte '0' (0x00),,,15.48055564,USB LS and FS,Byte '0' (0x00),,,,,,,,,
15.00714968,USB LS and FS,Byte 0x00,,,10.453394,USB LS and FS,Byte '0' (0x00),,,15.48055628,USB LS and FS,Byte 0 (0x30),,,,,,,,,
15.00715036,USB LS and FS,CRC OK 0x2527,,,10.45339468,USB LS and FS,Byte '0' (0x00),,,15.48055696,USB LS and FS,Byte '0' (0x00),,,,,,,,,
15.00715168,USB LS and FS,EOP,,,10.45339532,USB LS and FS,CRC OK '56535' (0xDCD7),,,15.48055764,USB LS and FS,CRC OK '41981' (0xA3FD),,,,,,,,,
15.00715228,USB LS and FS,SYNC,,,10.45339668,USB LS and FS,EOP,,,15.48055904,USB LS and FS,EOP,,,,,,,,,
15.00715292,USB LS and FS,PID ACK,,,10.45339732,USB LS and FS,SYNC,,,15.48055968,USB LS and FS,SYNC,,,,,,,,,
15.0071536,USB LS and FS,EOP,,,10.45339796,USB LS and FS,PID ACK,,,15.48056036,USB LS and FS,PID ACK,,,,,,,,,
,,,,,10.45339864,USB LS and FS,EOP,,,15.480561,USB LS and FS,EOP,,,,,,,,,
