name,type,start_time,duration,value
USB LS and FS,v1frame,6.60234994,2.50E-07,Error packet
USB LS and FS,v1frame,6.60235019,7.50E-07,Error packet
USB LS and FS,v1frame,6.60235094,2.50E-07,Error packet
USB LS and FS,v1frame,6.60235119,2.50E-07,Error packet
USB LS and FS,v1frame,6.60324525,2.81E-06,Error packet
USB LS and FS,v1frame,6.60324856,5.00E-07,Error packet
USB LS and FS,v1frame,6.60324981,1.88E-07,Error packet
USB LS and FS,v1frame,6.60334862,1.88E-07,Error packet
USB LS and FS,v1frame,6.60334881,2.50E-07,Error packet
USB LS and FS,v1frame,6.60334906,5.00E-07,Error packet
USB LS and FS,v1frame,6.60334956,2.50E-07,Error packet
USB LS and FS,v1frame,6.60335019,1.25E-07,Error packet
USB LS and FS,v1frame,6.60335056,8.75E-07,Error packet
USB LS and FS,v1frame,6.60434869,2.50E-07,Error packet
USB LS and FS,v1frame,6.60434894,2.50E-07,Error packet
USB LS and FS,v1frame,6.60434956,1.25E-07,Error packet
USB LS and FS,v1frame,6.60435025,4.38E-07,Error packet
USB LS and FS,v1frame,6.60449519,2.75E-06,Error packet
USB LS and FS,v1frame,6.60449831,1.25E-07,Error packet
USB LS and FS,v1frame,6.60449844,2.50E-07,Error packet
USB LS and FS,v1frame,6.60449869,5.00E-07,Error packet
USB LS and FS,v1frame,6.60534881,2.75E-06,Error packet
USB LS and FS,v1frame,6.60574513,2.81E-06,Error packet
USB LS and FS,v1frame,6.60574844,1.25E-07,Error packet
USB LS and FS,v1frame,6.60574856,2.50E-07,Error packet
USB LS and FS,v1frame,6.60574881,5.00E-07,Error packet
USB LS and FS,v1frame,6.60634875,2.81E-06,Error packet
USB LS and FS,v1frame,6.60699525,2.81E-06,Error packet
