Time [s],PID,Address,Endpoint,Frame #,Data,CRC
6.588347938,Parsing error,,,,,
6.588348063,Parsing error,,,,,
6.588348313,Parsing error,,,,,
6.588349875,Parsing error,,,,,
6.589348,Parsing error,,,,,
6.589348188,Parsing error,,,,,
6.589348438,Parsing error,,,,,
6.589348938,Parsing error,,,,,
6.589349938,Parsing error,,,,,
6.5894945,Parsing error,,,,,
6.589497688,Parsing error,,,,,
6.589497938,Parsing error,,,,,
6.589498938,Parsing error,,,,,
6.590348063,Parsing error,,,,,
6.590348313,Parsing error,,,,,
6.590348938,Parsing error,,,,,
6.590349375,Parsing error,,,,,
6.590349938,Parsing error,,,,,
6.590350563,Parsing error,,,,,
6.59074575,Parsing error,,,,,
6.590749063,Parsing error,,,,,
6.591348063,Parsing error,,,,,
6.591348438,Parsing error,,,,,
6.591994813,Parsing error,,,,,
6.591995063,Parsing error,,,,,
6.591995563,Parsing error,,,,,
6.591996188,Parsing error,,,,,
6.591996313,Parsing error,,,,,
6.591996563,Parsing error,,,,,
6.591996813,Parsing error,,,,,
6.591997313,Parsing error,,,,,
6.591998063,Parsing error,,,,,
6.591998438,Parsing error,,,,,
6.592348125,Parsing error,,,,,
6.593244563,Parsing error,,,,,
6.593247875,Parsing error,,,,,
6.593248063,Parsing error,,,,,
6.593248313,Parsing error,,,,,
6.593348188,Parsing error,,,,,
6.594348313,Parsing error,,,,,
6.594494625,Parsing error,,,,,
6.594497938,Parsing error,,,,,
6.594499188,Parsing error,,,,,
6.59534825,Parsing error,,,,,
6.595744875,Parsing error,,,,,
6.595748125,Parsing error,,,,,
6.595748313,Parsing error,,,,,
6.595748563,Parsing error,,,,,
6.596348313,Parsing error,,,,,
6.596994875,Parsing error,,,,,
6.596995,Parsing error,,,,,
6.59699525,Parsing error,,,,,
6.596996313,Parsing error,,,,,
6.596996625,Parsing error,,,,,
6.59699675,Parsing error,,,,,
6.596997,Parsing error,,,,,
6.59699725,Parsing error,,,,,
6.5969975,Parsing error,,,,,
6.596998188,Parsing error,,,,,
6.596999438,Parsing error,,,,,
6.597348375,Parsing error,,,,,
6.597350125,Parsing error,,,,,
6.598244875,Parsing error,,,,,
6.598248125,Parsing error,,,,,
6.598248313,Parsing error,,,,,
6.5983485,Parsing error,,,,,
6.599348438,Parsing error,,,,,
6.599494938,Parsing error,,,,,
6.599498188,Parsing error,,,,,
6.599499438,Parsing error,,,,,
6.6003485,Parsing error,,,,,
6.600744938,Parsing error,,,,,
6.600745188,Parsing error,,,,,
6.600745688,Parsing error,,,,,
6.600746313,Parsing error,,,,,
6.600746438,Parsing error,,,,,
6.600746688,Parsing error,,,,,
6.600746938,Parsing error,,,,,
6.600747438,Parsing error,,,,,
6.600748188,Parsing error,,,,,
6.600748313,Parsing error,,,,,
6.600748563,Parsing error,,,,,
6.601348563,Parsing error,,,,,
6.601348813,Parsing error,,,,,
6.601349438,Parsing error,,,,,
6.601350063,Parsing error,,,,,
6.601351125,Parsing error,,,,,
6.601995063,Parsing error,,,,,
6.601998188,Parsing error,,,,,
6.601998438,Parsing error,,,,,
6.601999438,Parsing error,,,,,
6.602348563,Parsing error,,,,,
6.602348688,Parsing error,,,,,
6.602348938,Parsing error,,,,,
6.602349938,Parsing error,,,,,
6.602350188,Parsing error,,,,,
6.602350938,Parsing error,,,,,
6.602351188,Parsing error,,,,,
6.60324525,Parsing error,,,,,
6.603248563,Parsing error,,,,,
6.603249813,Parsing error,,,,,
6.603348625,Parsing error,,,,,
6.603348813,Parsing error,,,,,
6.603349063,Parsing error,,,,,
6.603349563,Parsing error,,,,,
6.603350188,Parsing error,,,,,
6.603350563,Parsing error,,,,,
6.604348688,Parsing error,,,,,
